,id,input_a,input_b,output_add,output_sub,output_add_MR1,output_sub_MR1,output_add_MR2,output_sub_MR2,output_add_MR3,output_sub_MR3,output_add_MR4,output_sub_MR4,MR1_checker_add,MR2_checker_add,MR3_checker_add,MR4_checker_add,MR1_checker_sub,MR2_checker_sub,MR3_checker_sub,MR4_checker_sub
0,iSEs7dCtihGjPqowrautdT,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
1,KzwR8cqBCvwUKnyk8vDTUg,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
2,H8sZKRySe9tBmF7be4Kq4w,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
3,Hmy6QRNVq9hVXerX4Xx2Th,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
4,bF3ameDdN6oQD96QDoG5NP,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
5,o3Yc3aXuRabRbpqdYReDSs,6,0,6,6,6,-6,18,18,12,6,0,6,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
6,9utGY96kxdF6mCDLJib2ML,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
7,LQH4g9CLZSVz4TT875pi8L,9,0,9,9,9,-9,27,27,15,9,3,9,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
8,UHPswDtNgqABi9AxjdJMw5,3,0,3,3,3,-3,9,9,9,3,-3,3,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
9,jm9BuMCPfDjFLxba66MHT6,2,0,2,2,2,-2,6,6,8,2,-4,2,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
10,Sx66sAbR7jGmpgpSXdRLzN,4,0,4,4,4,-4,12,12,10,4,-2,4,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
11,jHPcyNdYB8BuK8voJRzyZs,4,0,4,4,4,-4,12,12,10,4,-2,4,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
12,ksASH4EgiJti68fZ8YThct,1,0,1,1,1,-1,3,3,7,1,-5,1,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
13,MfZhKixChEigNfugnApet7,2,0,2,2,2,-2,6,6,8,2,-4,2,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
14,ee6gfucDqtNSxyz6DQGu46,2,2,4,0,4,0,12,0,10,0,-2,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
15,Wa9fFqHLK9AFCSgNCxbaVS,0,2,2,-2,2,2,6,-6,8,-2,-4,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
16,GpxNfNek2GY4DmARGvXxjb,0,4,4,-4,4,4,12,-12,10,-4,-2,-4,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
17,7ZGLbSNrUMHhHdBfjwHyFD,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
18,RfNNWMfxcnZpnGNUVZVAcH,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
19,TMCWRVTRaMjwbqRtHGwY3v,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
20,7n2xQNordYRaRQTGSowcy7,0,1,1,-1,1,1,3,-3,7,-1,-5,-1,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
