,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('MR2_input_b == 48.0', 'input_a == 8')",2,"('MR2_input_a == 48.0',)",1,1.0,0.01,10.0,900000000.0
1,"('MR2_input_a == 48.0', 'MR2_input_b == 48.0')",2,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
2,"('input_a == 4', 'input_b == 3')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
3,"('MR2_input_b == 42.0', 'input_a == 5')",2,"('MR2_input_a == 30.0',)",1,1.0,0.01,10.0,900000000.0
4,"('MR2_input_a == 30.0', 'MR2_input_b == 42.0')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
5,"('MR2_input_a == 48.0', 'MR2_input_b == 36.0', 'input_a == 8')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
6,"('MR2_checker == No-violated', 'MR2_input_b == 36.0', 'input_a == 8')",3,"('MR2_input_a == 48.0',)",1,1.0,0.01,10.0,900000000.0
7,"('MR2_checker == No-violated', 'MR2_input_a == 48.0', 'MR2_input_b == 36.0')",3,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
8,"('MR2_input_b == 36.0', 'input_a == 8')",2,"('MR2_checker == No-violated', 'MR2_input_a == 48.0')",2,1.0,0.01,10.0,900000000.0
9,"('MR2_input_a == 48.0', 'MR2_input_b == 36.0')",2,"('MR2_checker == No-violated', 'input_a == 8')",2,1.0,0.01,10.0,900000000.0
10,"('input_a == 8', 'input_b == 5')",2,"('MR2_input_b == 30.0',)",1,1.0,0.01,10.0,900000000.0
11,"('MR2_input_a == 30.0', 'input_b == 9')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
12,"('MR2_input_b == 30.0', 'input_a == 8')",2,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
13,"('MR2_input_b == 18.0', 'input_a == 5', 'input_b == 3')",3,"('MR2_input_a == 30.0',)",1,1.0,0.01,10.0,900000000.0
14,"('MR2_input_a == 30.0', 'input_a == 5', 'input_b == 3')",3,"('MR2_input_b == 18.0',)",1,1.0,0.01,10.0,900000000.0
15,"('MR2_input_a == 30.0', 'MR2_input_b == 18.0', 'input_b == 3')",3,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
16,"('input_a == 9', 'input_b == 1')",2,"('MR2_input_a == 54.0',)",1,1.0,0.01,10.0,900000000.0
17,"('MR2_input_a == 54.0', 'input_b == 1')",2,"('input_a == 9',)",1,1.0,0.01,10.0,900000000.0
18,"('MR2_input_a == 30.0', 'MR2_input_b == 18.0', 'input_a == 5')",3,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
19,"('input_a == 5', 'input_b == 3')",2,"('MR2_input_a == 30.0', 'MR2_input_b == 18.0')",2,1.0,0.01,100.0,989999999.9999999
20,"('MR2_input_b == 18.0', 'input_a == 5')",2,"('MR2_input_a == 30.0', 'input_b == 3')",2,1.0,0.01,100.0,989999999.9999999
21,"('MR2_input_a == 30.0', 'input_b == 3')",2,"('MR2_input_b == 18.0', 'input_a == 5')",2,1.0,0.01,100.0,989999999.9999999
22,"('MR2_input_a == 30.0', 'MR2_input_b == 18.0')",2,"('input_a == 5', 'input_b == 3')",2,1.0,0.01,100.0,989999999.9999999
23,"('MR2_input_a == 12.0', 'input_a == 2', 'input_b == 3')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
24,"('MR2_checker == No-violated', 'input_a == 2', 'input_b == 3')",3,"('MR2_input_a == 12.0',)",1,1.0,0.01,10.0,900000000.0
25,"('MR2_checker == No-violated', 'MR2_input_a == 12.0', 'input_b == 3')",3,"('input_a == 2',)",1,1.0,0.01,10.0,900000000.0
26,"('input_a == 2', 'input_b == 3')",2,"('MR2_checker == No-violated', 'MR2_input_a == 12.0')",2,1.0,0.01,10.0,900000000.0
27,"('MR2_input_a == 12.0', 'input_b == 3')",2,"('MR2_checker == No-violated', 'input_a == 2')",2,1.0,0.01,10.0,900000000.0
28,"('MR2_input_b == 18.0', 'input_a == 7')",2,"('MR2_input_a == 42.0',)",1,1.0,0.01,10.0,900000000.0
29,"('MR2_input_a == 42.0', 'MR2_input_b == 18.0')",2,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
30,"('MR2_input_a == 36.0', 'MR2_input_b == 24.0', 'input_b == 4')",3,"('MR2_checker == No-violated', 'input_a == 6')",2,1.0,0.01,10.0,900000000.0
31,"('MR2_input_a == 36.0', 'MR2_input_b == 24.0', 'input_a == 6')",3,"('MR2_checker == No-violated', 'input_b == 4')",2,1.0,0.01,10.0,900000000.0
32,"('input_a == 2',)",1,"('MR2_input_a == 12.0',)",1,1.0,0.1,10.0,900000000.0
33,"('MR2_input_a == 12.0',)",1,"('input_a == 2',)",1,1.0,0.1,10.0,900000000.0
34,"('MR2_input_a == 42.0', 'input_a == 7', 'input_b == 8')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
35,"('MR2_checker == No-violated', 'input_a == 7', 'input_b == 8')",3,"('MR2_input_a == 42.0',)",1,1.0,0.01,10.0,900000000.0
36,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'input_b == 8')",3,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
37,"('input_a == 7', 'input_b == 8')",2,"('MR2_checker == No-violated', 'MR2_input_a == 42.0')",2,1.0,0.01,10.0,900000000.0
38,"('MR2_input_a == 42.0', 'input_b == 8')",2,"('MR2_checker == No-violated', 'input_a == 7')",2,1.0,0.01,10.0,900000000.0
39,"('MR2_input_b == 0.0', 'input_a == 9')",2,"('MR2_input_a == 54.0',)",1,1.0,0.01,10.0,900000000.0
40,"('MR2_input_a == 54.0', 'MR2_input_b == 0.0')",2,"('input_a == 9',)",1,1.0,0.01,10.0,900000000.0
41,"('MR2_input_a == 24.0', 'input_a == 4', 'input_b == 6')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
42,"('MR2_checker == No-violated', 'input_a == 4', 'input_b == 6')",3,"('MR2_input_a == 24.0',)",1,1.0,0.01,10.0,900000000.0
43,"('MR2_checker == No-violated', 'MR2_input_a == 24.0', 'input_b == 6')",3,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
44,"('input_a == 4', 'input_b == 6')",2,"('MR2_checker == No-violated', 'MR2_input_a == 24.0')",2,1.0,0.01,10.0,900000000.0
45,"('MR2_input_a == 24.0', 'input_b == 6')",2,"('MR2_checker == No-violated', 'input_a == 4')",2,1.0,0.01,10.0,900000000.0
46,"('MR2_input_a == 18.0', 'input_b == 1')",2,"('MR2_input_b == 6.0',)",1,1.0,0.01,10.0,900000000.0
47,"('MR2_input_a == 18.0', 'MR2_input_b == 6.0')",2,"('input_b == 1',)",1,1.0,0.01,10.0,900000000.0
48,"('MR2_input_a == 42.0',)",1,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
49,"('input_a == 8', 'input_b == 2')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
50,"('input_a == 7', 'input_b == 4')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
51,"('MR2_input_b == 42.0',)",1,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
52,"('input_a == 4', 'input_b == 4')",2,"('MR2_input_a == 24.0',)",1,1.0,0.01,10.0,900000000.0
53,"('MR2_input_a == 24.0', 'input_b == 4')",2,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
54,"('MR2_input_b == 30.0', 'input_a == 4')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
55,"('MR2_input_a == 18.0', 'input_b == 0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
56,"('MR2_input_a == 54.0', 'MR2_input_b == 24.0', 'input_b == 4')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
57,"('MR2_checker == No-violated', 'MR2_input_a == 54.0', 'input_b == 4')",3,"('MR2_input_b == 24.0',)",1,1.0,0.01,10.0,900000000.0
58,"('MR2_checker == No-violated', 'MR2_input_a == 54.0', 'MR2_input_b == 24.0')",3,"('input_b == 4',)",1,1.0,0.01,10.0,900000000.0
59,"('MR2_input_a == 54.0', 'input_b == 4')",2,"('MR2_checker == No-violated', 'MR2_input_b == 24.0')",2,1.0,0.01,10.0,900000000.0
60,"('input_a == 7', 'input_b == 8')",2,"('MR2_input_b == 48.0',)",1,1.0,0.01,10.0,900000000.0
61,"('MR2_input_b == 48.0', 'input_a == 7')",2,"('input_b == 8',)",1,1.0,0.01,10.0,900000000.0
62,"('MR2_input_a == 54.0', 'MR2_input_b == 24.0')",2,"('MR2_checker == No-violated', 'input_b == 4')",2,1.0,0.01,10.0,900000000.0
63,"('MR2_input_b == 42.0', 'input_a == 1')",2,"('MR2_input_a == 6.0',)",1,1.0,0.01,10.0,900000000.0
64,"('MR2_input_a == 6.0', 'MR2_input_b == 42.0')",2,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
65,"('MR2_input_a == 0.0', 'input_b == 0')",2,"('MR2_input_b == 0.0',)",1,1.0,0.01,10.0,900000000.0
66,"('MR2_input_a == 0.0', 'MR2_input_b == 0.0')",2,"('input_b == 0',)",1,1.0,0.01,10.0,900000000.0
67,"('input_a == 7',)",1,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
68,"('MR2_input_b == 36.0', 'input_a == 8', 'input_b == 6')",3,"('MR2_input_a == 48.0',)",1,1.0,0.01,10.0,900000000.0
