,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(9,8)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
1,"('(9,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
2,"('(0,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.0638297872340425,60000000.00000005
3,"('(2,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.0638297872340425,60000000.00000005
4,"('(7,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
5,"('(8,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
6,"('(1,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
7,"('(9,9)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.02,16.666666666666668,939999999.9999999
8,"('(4,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
9,"('(5,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
10,"('(6,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
11,"('(0,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
12,"('(5,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.0638297872340425,60000000.00000005
13,"('(7,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
14,"('(2,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
15,"('(8,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
16,"('(2,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
17,"('(5,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
18,"('(1,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
19,"('(4,4)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,16.666666666666668,939999999.9999999
20,"('(5,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
21,"('(1,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.0638297872340425,60000000.00000005
22,"('(6,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.04,1.0638297872340425,60000000.00000005
23,"('(3,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.0638297872340425,60000000.00000005
24,"('(4,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
25,"('(6,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
26,"('(4,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
27,"('(5,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
28,"('(9,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
29,"('(6,6)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,16.666666666666668,939999999.9999999
30,"('(0,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
31,"('(7,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
32,"('(5,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
33,"('(1,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.0638297872340425,60000000.00000005
34,"('(2,2)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,16.666666666666668,939999999.9999999
35,"('(3,8)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
36,"('(4,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
37,"('(6,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
38,"('(4,8)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
39,"('(6,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
40,"('(7,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
41,"('(7,8)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
42,"('(2,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
43,"('(1,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
44,"('(1,8)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
45,"('(4,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
46,"('(8,8)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,16.666666666666668,939999999.9999999
47,"('(9,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
48,"('(0,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
49,"('(2,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.04,1.0638297872340425,60000000.00000005
50,"('(6,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
51,"('(9,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
52,"('(3,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
53,"('(3,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.04,1.0638297872340425,60000000.00000005
54,"('(4,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
55,"('(2,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
56,"('(2,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
57,"('(1,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
58,"('(4,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.0638297872340425,60000000.00000005
59,"('(5,8)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
60,"('(9,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
61,"('(0,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
62,"('(7,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.0638297872340425,60000000.00000005
