,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
4,input_a==1,input_b==4,sub,output==-3,MR1_input_a==4,MR1_input_b==1,MR1_output==3,constant==2,MR2_input_a==2,MR2_input_b==8,MR2_output==-6,MR3_input_a==3,MR3_input_b==6,MR3_output==-3,MR4_input_a==-1,MR4_input_b==2,MR4_output==-3,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
6,input_a==3,input_b==6,sub,output==-3,MR1_input_a==6,MR1_input_b==3,MR1_output==3,constant==9,MR2_input_a==27,MR2_input_b==54,MR2_output==-27,MR3_input_a==12,MR3_input_b==15,MR3_output==-3,MR4_input_a==-6,MR4_input_b==-3,MR4_output==-3,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
10,input_a==4,input_b==8,sub,output==-4,MR1_input_a==8,MR1_input_b==4,MR1_output==4,constant==3,MR2_input_a==12,MR2_input_b==24,MR2_output==-12,MR3_input_a==7,MR3_input_b==11,MR3_output==-4,MR4_input_a==1,MR4_input_b==5,MR4_output==-4,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
13,input_a==3,input_b==4,sub,output==-1,MR1_input_a==4,MR1_input_b==3,MR1_output==1,constant==9,MR2_input_a==27,MR2_input_b==36,MR2_output==-9,MR3_input_a==12,MR3_input_b==13,MR3_output==-1,MR4_input_a==-6,MR4_input_b==-5,MR4_output==-1,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
17,input_a==3,input_b==5,sub,output==-2,MR1_input_a==5,MR1_input_b==3,MR1_output==2,constant==2,MR2_input_a==6,MR2_input_b==10,MR2_output==-4,MR3_input_a==5,MR3_input_b==7,MR3_output==-2,MR4_input_a==1,MR4_input_b==3,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
19,input_a==3,input_b==4,sub,output==-1,MR1_input_a==4,MR1_input_b==3,MR1_output==1,constant==7,MR2_input_a==21,MR2_input_b==28,MR2_output==-7,MR3_input_a==10,MR3_input_b==11,MR3_output==-1,MR4_input_a==-4,MR4_input_b==-3,MR4_output==-1,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
21,input_a==3,input_b==7,sub,output==-4,MR1_input_a==7,MR1_input_b==3,MR1_output==4,constant==7,MR2_input_a==21,MR2_input_b==49,MR2_output==-28,MR3_input_a==10,MR3_input_b==14,MR3_output==-4,MR4_input_a==-4,MR4_input_b==0,MR4_output==-4,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
22,input_a==4,input_b==9,sub,output==-5,MR1_input_a==9,MR1_input_b==4,MR1_output==5,constant==2,MR2_input_a==8,MR2_input_b==18,MR2_output==-10,MR3_input_a==6,MR3_input_b==11,MR3_output==-5,MR4_input_a==2,MR4_input_b==7,MR4_output==-5,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
25,input_a==1,input_b==3,sub,output==-2,MR1_input_a==3,MR1_input_b==1,MR1_output==2,constant==1,MR2_input_a==1,MR2_input_b==3,MR2_output==-2,MR3_input_a==2,MR3_input_b==4,MR3_output==-2,MR4_input_a==0,MR4_input_b==2,MR4_output==-2,Violated,No-violated,No-violated,No-violated,KMeans==3,fourth
28,input_a==1,input_b==6,sub,output==-5,MR1_input_a==6,MR1_input_b==1,MR1_output==5,constant==8,MR2_input_a==8,MR2_input_b==48,MR2_output==-40,MR3_input_a==9,MR3_input_b==14,MR3_output==-5,MR4_input_a==-7,MR4_input_b==-2,MR4_output==-5,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
29,input_a==5,input_b==7,sub,output==-2,MR1_input_a==7,MR1_input_b==5,MR1_output==2,constant==9,MR2_input_a==45,MR2_input_b==63,MR2_output==-18,MR3_input_a==14,MR3_input_b==16,MR3_output==-2,MR4_input_a==-4,MR4_input_b==-2,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
30,input_a==0,input_b==6,sub,output==-6,MR1_input_a==6,MR1_input_b==0,MR1_output==6,constant==6,MR2_input_a==0,MR2_input_b==36,MR2_output==-36,MR3_input_a==6,MR3_input_b==12,MR3_output==-6,MR4_input_a==-6,MR4_input_b==0,MR4_output==-6,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
31,input_a==3,input_b==9,sub,output==-6,MR1_input_a==9,MR1_input_b==3,MR1_output==6,constant==1,MR2_input_a==3,MR2_input_b==9,MR2_output==-6,MR3_input_a==4,MR3_input_b==10,MR3_output==-6,MR4_input_a==2,MR4_input_b==8,MR4_output==-6,Violated,No-violated,No-violated,No-violated,KMeans==3,fourth
32,input_a==6,input_b==8,sub,output==-2,MR1_input_a==8,MR1_input_b==6,MR1_output==2,constant==4,MR2_input_a==24,MR2_input_b==32,MR2_output==-8,MR3_input_a==10,MR3_input_b==12,MR3_output==-2,MR4_input_a==2,MR4_input_b==4,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
34,input_a==1,input_b==8,sub,output==-7,MR1_input_a==8,MR1_input_b==1,MR1_output==7,constant==5,MR2_input_a==5,MR2_input_b==40,MR2_output==-35,MR3_input_a==6,MR3_input_b==13,MR3_output==-7,MR4_input_a==-4,MR4_input_b==3,MR4_output==-7,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
38,input_a==1,input_b==2,sub,output==-1,MR1_input_a==2,MR1_input_b==1,MR1_output==1,constant==3,MR2_input_a==3,MR2_input_b==6,MR2_output==-3,MR3_input_a==4,MR3_input_b==5,MR3_output==-1,MR4_input_a==-2,MR4_input_b==-1,MR4_output==-1,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
42,input_a==3,input_b==5,sub,output==-2,MR1_input_a==5,MR1_input_b==3,MR1_output==2,constant==7,MR2_input_a==21,MR2_input_b==35,MR2_output==-14,MR3_input_a==10,MR3_input_b==12,MR3_output==-2,MR4_input_a==-4,MR4_input_b==-2,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
43,input_a==5,input_b==6,sub,output==-1,MR1_input_a==6,MR1_input_b==5,MR1_output==1,constant==8,MR2_input_a==40,MR2_input_b==48,MR2_output==-8,MR3_input_a==13,MR3_input_b==14,MR3_output==-1,MR4_input_a==-3,MR4_input_b==-2,MR4_output==-1,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
45,input_a==1,input_b==3,sub,output==-2,MR1_input_a==3,MR1_input_b==1,MR1_output==2,constant==3,MR2_input_a==3,MR2_input_b==9,MR2_output==-6,MR3_input_a==4,MR3_input_b==6,MR3_output==-2,MR4_input_a==-2,MR4_input_b==0,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
48,input_a==3,input_b==9,sub,output==-6,MR1_input_a==9,MR1_input_b==3,MR1_output==6,constant==4,MR2_input_a==12,MR2_input_b==36,MR2_output==-24,MR3_input_a==7,MR3_input_b==13,MR3_output==-6,MR4_input_a==-1,MR4_input_b==5,MR4_output==-6,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
50,input_a==1,input_b==3,sub,output==-2,MR1_input_a==3,MR1_input_b==1,MR1_output==2,constant==7,MR2_input_a==7,MR2_input_b==21,MR2_output==-14,MR3_input_a==8,MR3_input_b==10,MR3_output==-2,MR4_input_a==-6,MR4_input_b==-4,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
58,input_a==1,input_b==4,sub,output==-3,MR1_input_a==4,MR1_input_b==1,MR1_output==3,constant==6,MR2_input_a==6,MR2_input_b==24,MR2_output==-18,MR3_input_a==7,MR3_input_b==10,MR3_output==-3,MR4_input_a==-5,MR4_input_b==-2,MR4_output==-3,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
63,input_a==1,input_b==4,sub,output==-3,MR1_input_a==4,MR1_input_b==1,MR1_output==3,constant==8,MR2_input_a==8,MR2_input_b==32,MR2_output==-24,MR3_input_a==9,MR3_input_b==12,MR3_output==-3,MR4_input_a==-7,MR4_input_b==-4,MR4_output==-3,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
