,input_a,input_b,operand,output,MR1_input_a,MR1_input_b,MR1_output,constant,MR2_input_a,MR2_input_b,MR2_output,MR3_input_a,MR3_input_b,MR3_output,MR4_input_a,MR4_input_b,MR4_output,MR1_checker,MR2_checker,MR3_checker,MR4_checker,Component 1,Component 2,Component 3,Component 4,Component 5,KMeans,segment
0,3,0,1,3.0,0.0,3.0,-3.0,5.0,15.0,0.0,15.0,8.0,5.0,3.0,-2.0,-5.0,3.0,0.0,1.0,1.0,1.0,-2.268466987101744,-0.5040028952486653,0.8457969885052005,-2.7954177040247474,-0.32547641697901025,1,seconds
1,7,5,1,2.0,5.0,7.0,-2.0,8.0,56.0,40.0,16.0,15.0,13.0,2.0,-1.0,-3.0,2.0,0.0,1.0,1.0,1.0,-0.7433483524855306,-2.101733482792824,2.873794777105182,1.5604134577041697,-0.6151221118091088,1,seconds
2,7,1,1,6.0,1.0,7.0,-6.0,7.0,49.0,7.0,42.0,14.0,8.0,6.0,0.0,-6.0,6.0,0.0,1.0,1.0,1.0,-0.7414979236276491,-0.7669763696594311,3.6511381599297663,-1.4129537019501213,-0.15662477677118958,1,seconds
3,4,0,1,4.0,0.0,4.0,-4.0,1.0,4.0,0.0,4.0,5.0,1.0,4.0,3.0,-1.0,4.0,0.0,1.0,1.0,1.0,-2.8973817662547066,1.6951635189265004,0.5489828842959075,-2.841738564971598,-0.6073921564143239,1,seconds
4,1,4,1,-3.0,4.0,1.0,3.0,2.0,2.0,8.0,-6.0,3.0,6.0,-3.0,-1.0,2.0,-3.0,0.0,0.0,1.0,1.0,-3.948147304444633,-0.07395014242626678,-2.066119592105399,-0.33924934105334215,0.639604760622792,3,fourth
5,2,1,1,1.0,1.0,2.0,-1.0,3.0,6.0,3.0,3.0,5.0,4.0,1.0,-1.0,-2.0,1.0,0.0,1.0,1.0,1.0,-2.9402770544144436,0.08418581088323912,-0.3802457724371709,-2.3958294222283016,-0.6993748379629836,1,seconds
6,3,6,1,-3.0,6.0,3.0,3.0,9.0,27.0,54.0,-27.0,12.0,15.0,-3.0,-6.0,-3.0,-3.0,0.0,0.0,1.0,1.0,-2.4033510669206577,-3.8140916762418176,-0.21803018105812388,2.291476728411542,1.20292082549441,3,fourth
7,9,5,1,4.0,5.0,9.0,-4.0,6.0,54.0,30.0,24.0,15.0,11.0,4.0,3.0,-1.0,4.0,0.0,1.0,1.0,1.0,-0.6993126734187762,-0.43285684562173615,3.618978640302603,1.5315786213547578,-0.7194399487915677,1,seconds
8,5,2,1,3.0,2.0,5.0,-3.0,6.0,30.0,12.0,18.0,11.0,8.0,3.0,-1.0,-4.0,3.0,0.0,1.0,1.0,1.0,-1.6300544074257648,-0.8556060385615267,1.822515200375188,-1.096278025427321,-0.4472933475033219,1,seconds
9,8,6,1,2.0,6.0,8.0,-2.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,8.0,6.0,2.0,0.0,0.0,1.0,1.0,-3.1588988844893753,2.8737827030749066,0.7553216209179276,1.418629698105883,0.5195940343041037,1,seconds
10,4,8,1,-4.0,8.0,4.0,4.0,3.0,12.0,24.0,-12.0,7.0,11.0,-4.0,1.0,5.0,-4.0,0.0,0.0,1.0,1.0,-3.322947477949134,-0.28305072070593784,-1.162532362698831,2.6710956494872677,0.2829657535939818,3,fourth
11,7,8,1,-1.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,-1.0,7.0,8.0,-1.0,0.0,1.0,1.0,1.0,-2.8812624516721823,2.5493956663272463,0.057817473311717306,1.9690385344795431,-1.8366351699990435,1,seconds
12,9,7,1,2.0,7.0,9.0,-2.0,3.0,27.0,21.0,6.0,12.0,10.0,2.0,6.0,4.0,2.0,0.0,1.0,1.0,1.0,-1.6705842303608944,1.2116506755602285,2.200411600651941,2.278286626452316,-1.2741953865919875,1,seconds
13,3,4,1,-1.0,4.0,3.0,1.0,9.0,27.0,36.0,-9.0,12.0,13.0,-1.0,-6.0,-5.0,-1.0,0.0,0.0,1.0,1.0,-2.2560280133883177,-3.3804044837224767,0.3269911991145729,0.8024565331778036,1.460355881484008,3,fourth
14,7,3,1,4.0,3.0,7.0,-4.0,8.0,56.0,24.0,32.0,15.0,11.0,4.0,-1.0,-5.0,4.0,0.0,1.0,1.0,1.0,-0.6053755386623388,-1.7023891059469205,3.407757920209042,0.1123227363733042,-0.3492391820024704,1,seconds
15,5,0,1,5.0,0.0,5.0,-5.0,2.0,10.0,0.0,10.0,7.0,2.0,5.0,3.0,-2.0,5.0,0.0,1.0,1.0,1.0,-2.47404230285444,1.473472716963236,1.3292415072106123,-2.6632585826849016,-0.47250592435626043,1,seconds
16,7,5,1,2.0,5.0,7.0,-2.0,8.0,56.0,40.0,16.0,15.0,13.0,2.0,-1.0,-3.0,2.0,0.0,1.0,1.0,1.0,-0.7433483524855306,-2.101733482792824,2.873794777105182,1.5604134577041697,-0.6151221118091088,1,seconds
17,3,5,1,-2.0,5.0,3.0,2.0,2.0,6.0,10.0,-4.0,5.0,7.0,-2.0,1.0,3.0,-2.0,0.0,0.0,1.0,1.0,-3.5860789191603546,0.3659425681589965,-1.1971374563019268,0.52512695471864,0.5891432853310753,3,fourth
18,9,5,1,4.0,5.0,9.0,-4.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,9.0,5.0,4.0,0.0,0.0,1.0,1.0,-2.9637666610648408,3.223643803896496,1.484632810884095,0.9833281273515196,0.7481920259135201,1,seconds
19,3,4,1,-1.0,4.0,3.0,1.0,7.0,21.0,28.0,-7.0,10.0,11.0,-1.0,-4.0,-3.0,-1.0,0.0,0.0,1.0,1.0,-2.6243466470991414,-2.28240711421273,-0.04167217090573528,0.551431813916096,1.2566623072558671,3,fourth
20,2,1,1,1.0,1.0,2.0,-1.0,4.0,8.0,4.0,4.0,6.0,5.0,1.0,-2.0,-3.0,1.0,0.0,1.0,1.0,1.0,-2.761070008587651,-0.40365267581226155,-0.20174269751619434,-2.334978165505761,-0.6062232486211846,1,seconds
21,3,7,1,-4.0,7.0,3.0,4.0,7.0,21.0,49.0,-28.0,10.0,14.0,-4.0,-4.0,0.0,-4.0,0.0,0.0,1.0,1.0,-2.817280508270207,-2.8299094559714293,-0.8260295299582716,2.662173685058084,0.8451661018203492,3,fourth
22,4,9,1,-5.0,9.0,4.0,5.0,2.0,8.0,18.0,-10.0,6.0,11.0,-5.0,2.0,7.0,-5.0,0.0,0.0,1.0,1.0,-3.5483196337627425,0.2476358285423861,-1.5809703996091653,3.0617143889534773,0.009914745444680613,3,fourth
23,6,0,1,6.0,0.0,6.0,-6.0,3.0,18.0,0.0,18.0,9.0,3.0,6.0,3.0,-3.0,6.0,0.0,1.0,1.0,1.0,-2.0127475782694906,1.2324899659015376,2.1543320615101815,-2.4782448162901987,-0.3455729182047734,1,seconds
24,5,0,1,5.0,0.0,5.0,-5.0,7.0,35.0,0.0,35.0,12.0,7.0,5.0,-2.0,-7.0,5.0,0.0,1.0,1.0,1.0,-1.2699670155624767,-1.0245522955689308,2.5856419598740668,-2.4123226030193257,-0.08751685648918968,1,seconds
25,1,3,1,-2.0,3.0,1.0,2.0,1.0,1.0,3.0,-2.0,2.0,4.0,-2.0,0.0,2.0,-2.0,0.0,1.0,1.0,1.0,-3.5537366878690566,0.6230039165992277,-1.722785938283145,-1.4842403180162087,-1.2685844816571488,3,fourth
26,5,0,1,5.0,0.0,5.0,-5.0,1.0,5.0,0.0,5.0,6.0,1.0,5.0,4.0,-1.0,5.0,0.0,1.0,1.0,1.0,-2.714857360312833,1.9730777194696696,1.0779614166779217,-2.713445778618017,-0.5495037379296746,1,seconds
27,1,1,1,0.0,1.0,1.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,0.0,-8.0,-8.0,0.0,1.0,1.0,1.0,1.0,-1.5830700209259683,-2.847597467536775,-0.4302354192223296,-2.3218377636265792,0.06888642827316811,4,five
28,1,6,1,-5.0,6.0,1.0,5.0,8.0,8.0,48.0,-40.0,9.0,14.0,-5.0,-7.0,-2.0,-5.0,0.0,0.0,1.0,1.0,-3.2088957842434547,-3.651534933210806,-1.763084213457518,1.8227128334146,1.0325219089400364,3,fourth
29,5,7,1,-2.0,7.0,5.0,2.0,9.0,45.0,63.0,-18.0,14.0,16.0,-2.0,-4.0,-2.0,-2.0,0.0,0.0,1.0,1.0,-1.8083216923256116,-3.6294424642026226,0.9260716446984677,3.344842671599634,1.1263543272162966,3,fourth
30,0,6,1,-6.0,6.0,0.0,6.0,6.0,0.0,36.0,-36.0,6.0,12.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,1.0,1.0,-3.760015975070198,-2.7531201583481373,-2.6610256074146004,1.3582694879395618,0.7580207815464542,3,fourth
31,3,9,1,-6.0,9.0,3.0,6.0,1.0,3.0,9.0,-6.0,4.0,10.0,-6.0,2.0,8.0,-6.0,0.0,1.0,1.0,1.0,-3.40625128356277,0.7019983162900333,-2.034495324385133,2.257098466723212,-2.1278617842656034,3,fourth
32,6,8,1,-2.0,8.0,6.0,2.0,4.0,24.0,32.0,-8.0,10.0,12.0,-2.0,2.0,4.0,-2.0,0.0,0.0,1.0,1.0,-2.6595964144818782,-0.4124284575658668,0.21455167278470286,3.157920774009056,0.4896488346384129,3,fourth
33,9,5,1,4.0,5.0,9.0,-4.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,9.0,5.0,4.0,0.0,0.0,1.0,1.0,-2.9637666610648408,3.223643803896496,1.484632810884095,0.9833281273515196,0.7481920259135201,1,seconds
