,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('MR1_input_b==9', 'MR4 == No-violated', 'input_a==9')",3,"('MR1 == Violated',)",1,1.0,0.2222222222222222,1.0862068965517242,79365079.36507942
1,"('MR1_input_b==9', 'MR4 == No-violated')",2,"('MR1 == Violated', 'input_a==9')",2,1.0,0.2222222222222222,4.5,777777777.7777778
2,"('MR1 == Violated', 'input_a==9')",2,"('MR1_input_b==9', 'MR4 == No-violated')",2,1.0,0.2222222222222222,4.5,777777777.7777778
3,"('MR1 == Violated', 'MR1_input_b==9')",2,"('MR4 == No-violated', 'input_a==9')",2,1.0,0.2222222222222222,4.5,777777777.7777778
4,"('input_a==9',)",1,"('MR1 == Violated', 'MR1_input_b==9', 'MR4 == No-violated')",3,1.0,0.2222222222222222,4.5,777777777.7777778
5,"('MR1_input_b==9',)",1,"('MR1 == Violated', 'MR4 == No-violated', 'input_a==9')",3,1.0,0.2222222222222222,4.5,777777777.7777778
6,"('MR1 == Violated', 'MR4 == No-violated', 'input_a==9')",3,"('MR1_input_b==9',)",1,1.0,0.2222222222222222,4.5,777777777.7777778
7,"('MR1 == Violated', 'MR1_input_b==9', 'input_a==9')",3,"('MR4 == No-violated',)",1,1.0,0.2222222222222222,1.0,0.0
8,"('MR1 == Violated', 'MR1_input_b==9', 'MR4 == No-violated')",3,"('input_a==9',)",1,1.0,0.2222222222222222,4.5,777777777.7777778
9,"('MR4 == No-violated', 'input_a==9')",2,"('MR1 == Violated', 'MR1_input_b==9')",2,1.0,0.2222222222222222,4.5,777777777.7777778
10,"('MR2 == No-violated', 'MR2_input_b==0', 'sub')",3,"('MR1 == Violated',)",1,1.0,0.20634920634920634,1.086206896551724,79365079.36507942
11,"('MR1 == Violated', 'MR2 == No-violated', 'MR2_input_b==0')",3,"('sub',)",1,1.0,0.20634920634920634,1.0,0.0
12,"('MR2 == No-violated', 'MR2_input_b==0')",2,"('MR1 == Violated', 'sub')",2,1.0,0.20634920634920634,1.086206896551724,79365079.36507942
13,"('input_a==9',)",1,"('MR1 == Violated',)",1,1.0,0.2222222222222222,1.0862068965517242,79365079.36507942
14,"('MR3 == No-violated', 'MR4 == No-violated', 'input_a==9')",3,"('MR1_input_b==9',)",1,1.0,0.2222222222222222,4.5,777777777.7777778
15,"('MR2_input_b==0', 'MR4 == No-violated')",2,"('MR3 == No-violated',)",1,1.0,0.2857142857142857,1.0,0.0
16,"('MR2_input_b==0', 'MR3 == No-violated')",2,"('MR4 == No-violated',)",1,1.0,0.2857142857142857,1.0,0.0
