,"(a,b)",input_a,input_b,operand,const,output,MR1_input_a,MR1_input_b,MR1_inputs,MR1_output,MR1_checker
0,"(9,2)",9,2,sub,6,7.0,2.0,9.0,"(2,9)",-7.0,Violated
1,"(8,1)",8,1,sub,6,7.0,1.0,8.0,"(1,8)",-7.0,Violated
2,"(4,8)",4,8,sub,6,-4.0,8.0,4.0,"(8,4)",4.0,Violated
3,"(7,2)",7,2,sub,6,5.0,2.0,7.0,"(2,7)",-5.0,Violated
4,"(0,6)",0,6,sub,6,-6.0,6.0,0.0,"(6,0)",6.0,Violated
5,"(2,5)",2,5,sub,6,-3.0,5.0,2.0,"(5,2)",3.0,Violated
6,"(5,0)",5,0,sub,6,5.0,0.0,5.0,"(0,5)",-5.0,Violated
7,"(4,9)",4,9,sub,6,-5.0,9.0,4.0,"(9,4)",5.0,Violated
8,"(2,1)",2,1,sub,6,1.0,1.0,2.0,"(1,2)",-1.0,Violated
9,"(7,6)",7,6,sub,6,1.0,6.0,7.0,"(6,7)",-1.0,Violated
10,"(4,3)",4,3,sub,6,1.0,3.0,4.0,"(3,4)",-1.0,Violated
11,"(9,8)",9,8,sub,6,1.0,8.0,9.0,"(8,9)",-1.0,Violated
12,"(5,0)",5,0,sub,6,5.0,0.0,5.0,"(0,5)",-5.0,Violated
13,"(8,5)",8,5,sub,6,3.0,5.0,8.0,"(5,8)",-3.0,Violated
14,"(6,2)",6,2,sub,6,4.0,2.0,6.0,"(2,6)",-4.0,Violated
15,"(1,2)",1,2,sub,6,-1.0,2.0,1.0,"(2,1)",1.0,Violated
16,"(2,7)",2,7,sub,6,-5.0,7.0,2.0,"(7,2)",5.0,Violated
17,"(3,4)",3,4,sub,6,-1.0,4.0,3.0,"(4,3)",1.0,Violated
18,"(6,2)",6,2,sub,6,4.0,2.0,6.0,"(2,6)",-4.0,Violated
19,"(5,6)",5,6,sub,6,-1.0,6.0,5.0,"(6,5)",1.0,Violated
20,"(3,4)",3,4,sub,6,-1.0,4.0,3.0,"(4,3)",1.0,Violated
21,"(3,8)",3,8,sub,6,-5.0,8.0,3.0,"(8,3)",5.0,Violated
22,"(0,1)",0,1,sub,6,-1.0,1.0,0.0,"(1,0)",1.0,Violated
23,"(1,7)",1,7,sub,6,-6.0,7.0,1.0,"(7,1)",6.0,Violated
24,"(5,0)",5,0,sub,6,5.0,0.0,5.0,"(0,5)",-5.0,Violated
25,"(6,0)",6,0,sub,6,6.0,0.0,6.0,"(0,6)",-6.0,Violated
26,"(7,6)",7,6,sub,6,1.0,6.0,7.0,"(6,7)",-1.0,Violated
27,"(7,0)",7,0,sub,6,7.0,0.0,7.0,"(0,7)",-7.0,Violated
28,"(4,4)",4,4,sub,6,0.0,4.0,4.0,"(4,4)",0.0,No-violated
29,"(2,5)",2,5,sub,6,-3.0,5.0,2.0,"(5,2)",3.0,Violated
30,"(4,5)",4,5,sub,6,-1.0,5.0,4.0,"(5,4)",1.0,Violated
31,"(2,7)",2,7,sub,6,-5.0,7.0,2.0,"(7,2)",5.0,Violated
32,"(6,3)",6,3,sub,6,3.0,3.0,6.0,"(3,6)",-3.0,Violated
33,"(7,9)",7,9,sub,6,-2.0,9.0,7.0,"(9,7)",2.0,Violated
34,"(6,2)",6,2,sub,6,4.0,2.0,6.0,"(2,6)",-4.0,Violated
35,"(1,2)",1,2,sub,6,-1.0,2.0,1.0,"(2,1)",1.0,Violated
36,"(6,9)",6,9,sub,6,-3.0,9.0,6.0,"(9,6)",3.0,Violated
37,"(2,4)",2,4,sub,6,-2.0,4.0,2.0,"(4,2)",2.0,Violated
38,"(7,8)",7,8,sub,6,-1.0,8.0,7.0,"(8,7)",1.0,Violated
39,"(1,6)",1,6,sub,6,-5.0,6.0,1.0,"(6,1)",5.0,Violated
40,"(1,6)",1,6,sub,6,-5.0,6.0,1.0,"(6,1)",5.0,Violated
41,"(1,9)",1,9,sub,6,-8.0,9.0,1.0,"(9,1)",8.0,Violated
42,"(0,7)",0,7,sub,6,-7.0,7.0,0.0,"(7,0)",7.0,Violated
43,"(4,7)",4,7,sub,6,-3.0,7.0,4.0,"(7,4)",3.0,Violated
44,"(3,5)",3,5,sub,6,-2.0,5.0,3.0,"(5,3)",2.0,Violated
45,"(1,7)",1,7,sub,6,-6.0,7.0,1.0,"(7,1)",6.0,Violated
46,"(5,8)",5,8,sub,6,-3.0,8.0,5.0,"(8,5)",3.0,Violated
47,"(5,1)",5,1,sub,6,4.0,1.0,5.0,"(1,5)",-4.0,Violated
48,"(8,8)",8,8,sub,6,0.0,8.0,8.0,"(8,8)",0.0,No-violated
49,"(6,6)",6,6,sub,6,0.0,6.0,6.0,"(6,6)",0.0,No-violated
50,"(5,2)",5,2,sub,6,3.0,2.0,5.0,"(2,5)",-3.0,Violated
51,"(3,5)",3,5,sub,6,-2.0,5.0,3.0,"(5,3)",2.0,Violated
52,"(9,9)",9,9,sub,6,0.0,9.0,9.0,"(9,9)",0.0,No-violated
53,"(2,4)",2,4,sub,6,-2.0,4.0,2.0,"(4,2)",2.0,Violated
54,"(9,7)",9,7,sub,6,2.0,7.0,9.0,"(7,9)",-2.0,Violated
55,"(0,2)",0,2,sub,6,-2.0,2.0,0.0,"(2,0)",2.0,Violated
56,"(0,2)",0,2,sub,6,-2.0,2.0,0.0,"(2,0)",2.0,Violated
57,"(0,1)",0,1,sub,6,-1.0,1.0,0.0,"(1,0)",1.0,Violated
58,"(6,1)",6,1,sub,6,5.0,1.0,6.0,"(1,6)",-5.0,Violated
59,"(9,3)",9,3,sub,6,6.0,3.0,9.0,"(3,9)",-6.0,Violated
60,"(4,2)",4,2,sub,6,2.0,2.0,4.0,"(2,4)",-2.0,Violated
61,"(0,3)",0,3,sub,6,-3.0,3.0,0.0,"(3,0)",3.0,Violated
62,"(6,3)",6,3,sub,6,3.0,3.0,6.0,"(3,6)",-3.0,Violated
63,"(9,7)",9,7,sub,6,2.0,7.0,9.0,"(7,9)",-2.0,Violated
64,"(3,4)",3,4,sub,6,-1.0,4.0,3.0,"(4,3)",1.0,Violated
65,"(5,7)",5,7,sub,6,-2.0,7.0,5.0,"(7,5)",2.0,Violated
66,"(9,6)",9,6,sub,6,3.0,6.0,9.0,"(6,9)",-3.0,Violated
67,"(3,4)",3,4,sub,6,-1.0,4.0,3.0,"(4,3)",1.0,Violated
68,"(7,4)",7,4,sub,6,3.0,4.0,7.0,"(4,7)",-3.0,Violated
69,"(7,9)",7,9,sub,6,-2.0,9.0,7.0,"(9,7)",2.0,Violated
70,"(5,7)",5,7,sub,6,-2.0,7.0,5.0,"(7,5)",2.0,Violated
71,"(5,8)",5,8,sub,6,-3.0,8.0,5.0,"(8,5)",3.0,Violated
72,"(0,6)",0,6,sub,6,-6.0,6.0,0.0,"(6,0)",6.0,Violated
73,"(1,0)",1,0,sub,6,1.0,0.0,1.0,"(0,1)",-1.0,Violated
74,"(2,2)",2,2,sub,6,0.0,2.0,2.0,"(2,2)",0.0,No-violated
75,"(3,7)",3,7,sub,6,-4.0,7.0,3.0,"(7,3)",4.0,Violated
76,"(1,7)",1,7,sub,6,-6.0,7.0,1.0,"(7,1)",6.0,Violated
77,"(9,9)",9,9,sub,6,0.0,9.0,9.0,"(9,9)",0.0,No-violated
78,"(2,9)",2,9,sub,6,-7.0,9.0,2.0,"(9,2)",7.0,Violated
79,"(4,8)",4,8,sub,6,-4.0,8.0,4.0,"(8,4)",4.0,Violated
80,"(5,4)",5,4,sub,6,1.0,4.0,5.0,"(4,5)",-1.0,Violated
81,"(2,6)",2,6,sub,6,-4.0,6.0,2.0,"(6,2)",4.0,Violated
82,"(1,6)",1,6,sub,6,-5.0,6.0,1.0,"(6,1)",5.0,Violated
83,"(6,2)",6,2,sub,6,4.0,2.0,6.0,"(2,6)",-4.0,Violated
84,"(4,1)",4,1,sub,6,3.0,1.0,4.0,"(1,4)",-3.0,Violated
85,"(2,7)",2,7,sub,6,-5.0,7.0,2.0,"(7,2)",5.0,Violated
86,"(6,5)",6,5,sub,6,1.0,5.0,6.0,"(5,6)",-1.0,Violated
87,"(9,4)",9,4,sub,6,5.0,4.0,9.0,"(4,9)",-5.0,Violated
88,"(8,1)",8,1,sub,6,7.0,1.0,8.0,"(1,8)",-7.0,Violated
89,"(9,4)",9,4,sub,6,5.0,4.0,9.0,"(4,9)",-5.0,Violated
90,"(4,0)",4,0,sub,6,4.0,0.0,4.0,"(0,4)",-4.0,Violated
91,"(4,3)",4,3,sub,6,1.0,3.0,4.0,"(3,4)",-1.0,Violated
92,"(5,1)",5,1,sub,6,4.0,1.0,5.0,"(1,5)",-4.0,Violated
93,"(3,5)",3,5,sub,6,-2.0,5.0,3.0,"(5,3)",2.0,Violated
94,"(2,5)",2,5,sub,6,-3.0,5.0,2.0,"(5,2)",3.0,Violated
95,"(2,7)",2,7,sub,6,-5.0,7.0,2.0,"(7,2)",5.0,Violated
96,"(2,3)",2,3,sub,6,-1.0,3.0,2.0,"(3,2)",1.0,Violated
97,"(1,3)",1,3,sub,6,-2.0,3.0,1.0,"(3,1)",2.0,Violated
98,"(0,6)",0,6,sub,6,-6.0,6.0,0.0,"(6,0)",6.0,Violated
99,"(1,8)",1,8,sub,6,-7.0,8.0,1.0,"(8,1)",7.0,Violated
