,"(a,b)",input_a,input_b,operand,const,output,MR1_input_a,MR1_input_b,MR1_inputs,MR1_output,MR1_checker
0,"(9,2)",9,2,sum,6,11.0,2.0,9.0,"(2,9)",11.0,No-violated
1,"(8,1)",8,1,sum,6,9.0,1.0,8.0,"(1,8)",9.0,No-violated
2,"(4,8)",4,8,sum,6,12.0,8.0,4.0,"(8,4)",12.0,No-violated
3,"(7,2)",7,2,sum,6,9.0,2.0,7.0,"(2,7)",9.0,No-violated
4,"(0,6)",0,6,sum,6,6.0,6.0,0.0,"(6,0)",6.0,No-violated
5,"(2,5)",2,5,sum,6,7.0,5.0,2.0,"(5,2)",7.0,No-violated
6,"(5,0)",5,0,sum,6,5.0,0.0,5.0,"(0,5)",5.0,No-violated
7,"(4,9)",4,9,sum,6,13.0,9.0,4.0,"(9,4)",13.0,No-violated
8,"(2,1)",2,1,sum,6,3.0,1.0,2.0,"(1,2)",3.0,No-violated
9,"(7,6)",7,6,sum,6,13.0,6.0,7.0,"(6,7)",13.0,No-violated
10,"(4,3)",4,3,sum,6,7.0,3.0,4.0,"(3,4)",7.0,No-violated
11,"(9,8)",9,8,sum,6,17.0,8.0,9.0,"(8,9)",17.0,No-violated
12,"(5,0)",5,0,sum,6,5.0,0.0,5.0,"(0,5)",5.0,No-violated
13,"(8,5)",8,5,sum,6,13.0,5.0,8.0,"(5,8)",13.0,No-violated
14,"(6,2)",6,2,sum,6,8.0,2.0,6.0,"(2,6)",8.0,No-violated
15,"(1,2)",1,2,sum,6,3.0,2.0,1.0,"(2,1)",3.0,No-violated
16,"(2,7)",2,7,sum,6,9.0,7.0,2.0,"(7,2)",9.0,No-violated
17,"(3,4)",3,4,sum,6,7.0,4.0,3.0,"(4,3)",7.0,No-violated
18,"(6,2)",6,2,sum,6,8.0,2.0,6.0,"(2,6)",8.0,No-violated
19,"(5,6)",5,6,sum,6,11.0,6.0,5.0,"(6,5)",11.0,No-violated
20,"(3,4)",3,4,sum,6,7.0,4.0,3.0,"(4,3)",7.0,No-violated
21,"(3,8)",3,8,sum,6,11.0,8.0,3.0,"(8,3)",11.0,No-violated
22,"(0,1)",0,1,sum,6,1.0,1.0,0.0,"(1,0)",1.0,No-violated
