,"(a,b)",input_a,input_b,operand,const,output,MR4_input_a,MR4_input_b,MR4_inputs,MR4_output,MR4_checker
0,"(9,2)",9,2,sub,6,7.0,3.0,-4.0,"(3,-4)",7.0,No-violated
1,"(9,2)",9,2,sum,6,11.0,3.0,-4.0,"(3,-4)",-1.0,Violated
2,"(8,1)",8,1,sub,6,7.0,2.0,-5.0,"(2,-5)",7.0,No-violated
3,"(8,1)",8,1,sum,6,9.0,2.0,-5.0,"(2,-5)",-3.0,Violated
4,"(4,8)",4,8,sub,6,-4.0,-2.0,2.0,"(-2,2)",-4.0,No-violated
5,"(4,8)",4,8,sum,6,12.0,-2.0,2.0,"(-2,2)",0.0,Violated
6,"(7,2)",7,2,sub,6,5.0,1.0,-4.0,"(1,-4)",5.0,No-violated
7,"(7,2)",7,2,sum,6,9.0,1.0,-4.0,"(1,-4)",-3.0,Violated
8,"(0,6)",0,6,sub,6,-6.0,-6.0,0.0,"(-6,0)",-6.0,No-violated
9,"(0,6)",0,6,sum,6,6.0,-6.0,0.0,"(-6,0)",-6.0,Violated
10,"(2,5)",2,5,sub,6,-3.0,-4.0,-1.0,"(-4,-1)",-3.0,No-violated
11,"(2,5)",2,5,sum,6,7.0,-4.0,-1.0,"(-4,-1)",-5.0,Violated
12,"(5,0)",5,0,sub,6,5.0,-1.0,-6.0,"(-1,-6)",5.0,No-violated
13,"(5,0)",5,0,sum,6,5.0,-1.0,-6.0,"(-1,-6)",-7.0,Violated
14,"(4,9)",4,9,sub,6,-5.0,-2.0,3.0,"(-2,3)",-5.0,No-violated
15,"(4,9)",4,9,sum,6,13.0,-2.0,3.0,"(-2,3)",1.0,Violated
16,"(2,1)",2,1,sub,6,1.0,-4.0,-5.0,"(-4,-5)",1.0,No-violated
17,"(2,1)",2,1,sum,6,3.0,-4.0,-5.0,"(-4,-5)",-9.0,Violated
18,"(7,6)",7,6,sub,6,1.0,1.0,0.0,"(1,0)",1.0,No-violated
19,"(7,6)",7,6,sum,6,13.0,1.0,0.0,"(1,0)",1.0,Violated
20,"(4,3)",4,3,sub,6,1.0,-2.0,-3.0,"(-2,-3)",1.0,No-violated
21,"(4,3)",4,3,sum,6,7.0,-2.0,-3.0,"(-2,-3)",-5.0,Violated
22,"(9,8)",9,8,sub,6,1.0,3.0,2.0,"(3,2)",1.0,No-violated
23,"(9,8)",9,8,sum,6,17.0,3.0,2.0,"(3,2)",5.0,Violated
24,"(5,0)",5,0,sub,6,5.0,-1.0,-6.0,"(-1,-6)",5.0,No-violated
25,"(5,0)",5,0,sum,6,5.0,-1.0,-6.0,"(-1,-6)",-7.0,Violated
26,"(8,5)",8,5,sub,6,3.0,2.0,-1.0,"(2,-1)",3.0,No-violated
27,"(8,5)",8,5,sum,6,13.0,2.0,-1.0,"(2,-1)",1.0,Violated
28,"(6,2)",6,2,sub,6,4.0,0.0,-4.0,"(0,-4)",4.0,No-violated
29,"(6,2)",6,2,sum,6,8.0,0.0,-4.0,"(0,-4)",-4.0,Violated
30,"(1,2)",1,2,sub,6,-1.0,-5.0,-4.0,"(-5,-4)",-1.0,No-violated
31,"(1,2)",1,2,sum,6,3.0,-5.0,-4.0,"(-5,-4)",-9.0,Violated
32,"(2,7)",2,7,sub,6,-5.0,-4.0,1.0,"(-4,1)",-5.0,No-violated
33,"(2,7)",2,7,sum,6,9.0,-4.0,1.0,"(-4,1)",-3.0,Violated
34,"(3,4)",3,4,sub,6,-1.0,-3.0,-2.0,"(-3,-2)",-1.0,No-violated
35,"(3,4)",3,4,sum,6,7.0,-3.0,-2.0,"(-3,-2)",-5.0,Violated
36,"(6,2)",6,2,sub,6,4.0,0.0,-4.0,"(0,-4)",4.0,No-violated
