,"(a,b)",input_a,input_b,operand,const,MR1,MR2,MR3,MR4
0,"(9,2)",9,2,sub,9,No-violated,No-violated,Violated,Violated
1,"(9,2)",9,2,sum,9,No-violated,No-violated,Violated,Violated
2,"(9,2)",9,2,mul,9,No-violated,No-violated,Violated,Violated
3,"(9,2)",9,2,div,9,,,,
4,"(2,3)",2,3,sub,9,No-violated,Violated,Violated,Violated
5,"(2,3)",2,3,sum,9,No-violated,No-violated,Violated,Violated
6,"(2,3)",2,3,mul,9,No-violated,No-violated,Violated,Violated
7,"(2,3)",2,3,div,9,,,,
8,"(5,5)",5,5,sub,9,No-violated,Violated,No-violated,No-violated
9,"(5,5)",5,5,sum,9,No-violated,No-violated,Violated,Violated
10,"(5,5)",5,5,mul,9,No-violated,No-violated,Violated,Violated
11,"(5,5)",5,5,div,9,,,,
12,"(0,0)",0,0,sub,9,No-violated,Violated,No-violated,No-violated
13,"(0,0)",0,0,sum,9,No-violated,Violated,Violated,Violated
14,"(0,0)",0,0,mul,9,No-violated,Violated,Violated,Violated
15,"(0,0)",0,0,div,9,,,,
16,"(1,2)",1,2,sub,9,No-violated,Violated,Violated,Violated
17,"(1,2)",1,2,sum,9,No-violated,No-violated,Violated,Violated
18,"(1,2)",1,2,mul,9,No-violated,No-violated,Violated,Violated
19,"(1,2)",1,2,div,9,,,,
20,"(4,9)",4,9,sub,9,No-violated,Violated,Violated,Violated
21,"(4,9)",4,9,sum,9,No-violated,No-violated,Violated,Violated
22,"(4,9)",4,9,mul,9,No-violated,No-violated,Violated,Violated
23,"(4,9)",4,9,div,9,,,,
24,"(0,2)",0,2,sub,9,No-violated,Violated,Violated,Violated
25,"(0,2)",0,2,sum,9,No-violated,No-violated,Violated,Violated
26,"(0,2)",0,2,mul,9,No-violated,Violated,Violated,Violated
27,"(0,2)",0,2,div,9,,,,
28,"(7,4)",7,4,sub,9,No-violated,No-violated,Violated,Violated
29,"(7,4)",7,4,sum,9,No-violated,No-violated,Violated,Violated
30,"(7,4)",7,4,mul,9,No-violated,No-violated,Violated,Violated
31,"(7,4)",7,4,div,9,,,,
32,"(2,6)",2,6,sub,9,No-violated,Violated,Violated,Violated
33,"(2,6)",2,6,sum,9,No-violated,No-violated,Violated,Violated
34,"(2,6)",2,6,mul,9,No-violated,No-violated,Violated,Violated
35,"(2,6)",2,6,div,9,,,,
36,"(0,4)",0,4,sub,9,No-violated,Violated,Violated,Violated
37,"(0,4)",0,4,sum,9,No-violated,No-violated,Violated,Violated
38,"(0,4)",0,4,mul,9,No-violated,Violated,Violated,Violated
39,"(0,4)",0,4,div,9,,,,
40,"(0,4)",0,4,sub,9,No-violated,Violated,Violated,Violated
41,"(0,4)",0,4,sum,9,No-violated,No-violated,Violated,Violated
42,"(0,4)",0,4,mul,9,No-violated,Violated,Violated,Violated
43,"(0,4)",0,4,div,9,,,,
44,"(8,0)",8,0,sub,9,No-violated,No-violated,Violated,Violated
45,"(8,0)",8,0,sum,9,No-violated,No-violated,Violated,Violated
46,"(8,0)",8,0,mul,9,No-violated,Violated,Violated,Violated
47,"(8,0)",8,0,div,9,,,,
48,"(2,7)",2,7,sub,9,No-violated,Violated,Violated,Violated
49,"(2,7)",2,7,sum,9,No-violated,No-violated,Violated,Violated
50,"(2,7)",2,7,mul,9,No-violated,No-violated,Violated,No-violated
51,"(2,7)",2,7,div,9,,,,
52,"(6,6)",6,6,sub,9,No-violated,Violated,No-violated,No-violated
53,"(6,6)",6,6,sum,9,No-violated,No-violated,Violated,Violated
54,"(6,6)",6,6,mul,9,No-violated,No-violated,Violated,Violated
55,"(6,6)",6,6,div,9,,,,
56,"(3,7)",3,7,sub,9,No-violated,Violated,Violated,Violated
57,"(3,7)",3,7,sum,9,No-violated,No-violated,Violated,Violated
58,"(3,7)",3,7,mul,9,No-violated,No-violated,Violated,Violated
59,"(3,7)",3,7,div,9,,,,
60,"(2,1)",2,1,sub,9,No-violated,No-violated,Violated,Violated
61,"(2,1)",2,1,sum,9,No-violated,No-violated,Violated,Violated
62,"(2,1)",2,1,mul,9,No-violated,No-violated,Violated,Violated
63,"(2,1)",2,1,div,9,,,,
64,"(7,9)",7,9,sub,9,No-violated,Violated,Violated,Violated
65,"(7,9)",7,9,sum,9,No-violated,No-violated,Violated,Violated
66,"(7,9)",7,9,mul,9,No-violated,No-violated,Violated,Violated
67,"(7,9)",7,9,div,9,,,,
68,"(9,4)",9,4,sub,9,No-violated,No-violated,Violated,Violated
69,"(9,4)",9,4,sum,9,No-violated,No-violated,Violated,Violated
70,"(9,4)",9,4,mul,9,No-violated,No-violated,Violated,Violated
71,"(9,4)",9,4,div,9,,,,
72,"(2,5)",2,5,sub,9,No-violated,Violated,Violated,Violated
73,"(2,5)",2,5,sum,9,No-violated,No-violated,Violated,Violated
74,"(2,5)",2,5,mul,9,No-violated,No-violated,Violated,Violated
75,"(2,5)",2,5,div,9,,,,
76,"(3,8)",3,8,sub,9,No-violated,Violated,Violated,Violated
77,"(3,8)",3,8,sum,9,No-violated,No-violated,Violated,Violated
78,"(3,8)",3,8,mul,9,No-violated,No-violated,Violated,Violated
79,"(3,8)",3,8,div,9,,,,
80,"(3,4)",3,4,sub,9,No-violated,Violated,Violated,Violated
81,"(3,4)",3,4,sum,9,No-violated,No-violated,Violated,Violated
82,"(3,4)",3,4,mul,9,No-violated,No-violated,Violated,Violated
83,"(3,4)",3,4,div,9,,,,
84,"(9,6)",9,6,sub,9,No-violated,No-violated,Violated,Violated
85,"(9,6)",9,6,sum,9,No-violated,No-violated,Violated,Violated
86,"(9,6)",9,6,mul,9,No-violated,No-violated,Violated,Violated
87,"(9,6)",9,6,div,9,,,,
88,"(5,8)",5,8,sub,9,No-violated,Violated,Violated,Violated
89,"(5,8)",5,8,sum,9,No-violated,No-violated,Violated,Violated
90,"(5,8)",5,8,mul,9,No-violated,No-violated,Violated,Violated
91,"(5,8)",5,8,div,9,,,,
92,"(5,5)",5,5,sub,9,No-violated,Violated,No-violated,No-violated
93,"(5,5)",5,5,sum,9,No-violated,No-violated,Violated,Violated
94,"(5,5)",5,5,mul,9,No-violated,No-violated,Violated,Violated
95,"(5,5)",5,5,div,9,,,,
96,"(1,0)",1,0,sub,9,No-violated,No-violated,Violated,Violated
97,"(1,0)",1,0,sum,9,No-violated,No-violated,Violated,Violated
98,"(1,0)",1,0,mul,9,No-violated,Violated,Violated,Violated
99,"(1,0)",1,0,div,9,,,,
100,"(6,8)",6,8,sub,9,No-violated,Violated,Violated,Violated
101,"(6,8)",6,8,sum,9,No-violated,No-violated,Violated,Violated
102,"(6,8)",6,8,mul,9,No-violated,No-violated,Violated,Violated
103,"(6,8)",6,8,div,9,,,,
104,"(5,5)",5,5,sub,9,No-violated,Violated,No-violated,No-violated
105,"(5,5)",5,5,sum,9,No-violated,No-violated,Violated,Violated
106,"(5,5)",5,5,mul,9,No-violated,No-violated,Violated,Violated
107,"(5,5)",5,5,div,9,,,,
108,"(2,1)",2,1,sub,9,No-violated,No-violated,Violated,Violated
109,"(2,1)",2,1,sum,9,No-violated,No-violated,Violated,Violated
110,"(2,1)",2,1,mul,9,No-violated,No-violated,Violated,Violated
111,"(2,1)",2,1,div,9,,,,
112,"(0,2)",0,2,sub,9,No-violated,Violated,Violated,Violated
113,"(0,2)",0,2,sum,9,No-violated,No-violated,Violated,Violated
114,"(0,2)",0,2,mul,9,No-violated,Violated,Violated,Violated
115,"(0,2)",0,2,div,9,,,,
116,"(8,2)",8,2,sub,9,No-violated,No-violated,Violated,Violated
117,"(8,2)",8,2,sum,9,No-violated,No-violated,Violated,Violated
118,"(8,2)",8,2,mul,9,No-violated,No-violated,Violated,Violated
119,"(8,2)",8,2,div,9,,,,
120,"(7,1)",7,1,sub,9,No-violated,No-violated,Violated,Violated
121,"(7,1)",7,1,sum,9,No-violated,No-violated,Violated,Violated
122,"(7,1)",7,1,mul,9,No-violated,No-violated,Violated,Violated
123,"(7,1)",7,1,div,9,,,,
124,"(5,7)",5,7,sub,9,No-violated,Violated,Violated,Violated
125,"(5,7)",5,7,sum,9,No-violated,No-violated,Violated,Violated
126,"(5,7)",5,7,mul,9,No-violated,No-violated,Violated,Violated
127,"(5,7)",5,7,div,9,,,,
128,"(4,3)",4,3,sub,9,No-violated,No-violated,Violated,Violated
129,"(4,3)",4,3,sum,9,No-violated,No-violated,Violated,Violated
130,"(4,3)",4,3,mul,9,No-violated,No-violated,Violated,Violated
131,"(4,3)",4,3,div,9,,,,
132,"(7,4)",7,4,sub,9,No-violated,No-violated,Violated,Violated
133,"(7,4)",7,4,sum,9,No-violated,No-violated,Violated,Violated
134,"(7,4)",7,4,mul,9,No-violated,No-violated,Violated,Violated
135,"(7,4)",7,4,div,9,,,,
136,"(1,4)",1,4,sub,9,No-violated,Violated,Violated,Violated
137,"(1,4)",1,4,sum,9,No-violated,No-violated,Violated,Violated
138,"(1,4)",1,4,mul,9,No-violated,No-violated,Violated,Violated
139,"(1,4)",1,4,div,9,,,,
140,"(5,9)",5,9,sub,9,No-violated,Violated,Violated,Violated
141,"(5,9)",5,9,sum,9,No-violated,No-violated,Violated,Violated
